City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
78,Ust-Omchug,RU,61.15,149.6333,-10.48,97,74,4.07,broken clouds
79,Ayr,GB,55.4627,-4.6339,55.51,88,75,19.57,broken clouds
80,Albany,US,42.6001,-73.9662,45.3,52,0,3.67,clear sky
81,Rocha,UY,-34.4833,-54.3333,55.26,97,84,6.69,broken clouds
82,Port Elizabeth,ZA,-33.918,25.5701,59.29,88,75,4.61,light rain
83,Bouloupari,NC,-21.8667,166.05,75.11,74,85,10.07,overcast clouds
84,Bethel,US,41.3712,-73.414,47.48,76,0,5.75,clear sky
85,Nelson Bay,AU,-32.7167,152.15,72.0,55,4,13.13,clear sky
86,Hobart,AU,-42.8794,147.3294,80.06,45,0,14.97,clear sky
87,College,US,64.8569,-147.8028,20.59,92,75,0.0,broken clouds
88,Petropavlovka,RU,50.6114,105.3196,28.96,94,100,2.91,snow
89,Saldanha,ZA,-33.0117,17.9442,51.85,78,0,9.62,clear sky
90,Arraial Do Cabo,BR,-22.9661,-42.0278,67.96,88,0,0.0,clear sky
91,Beihai,CN,21.4833,109.1,76.75,80,1,10.63,clear sky
92,Carnarvon,AU,-24.8667,113.6333,68.97,58,96,11.97,overcast clouds
93,Port Alfred,ZA,-33.5906,26.891,59.18,96,100,10.76,overcast clouds
94,Augusto Correa,BR,-1.0217,-46.635,73.36,90,16,3.06,few clouds
95,Bredasdorp,ZA,-34.5322,20.0403,57.83,65,46,9.86,scattered clouds
96,Doha,QA,25.2867,51.5333,82.38,78,0,13.8,clear sky
97,Leh,IN,34.1667,77.5833,25.36,82,98,5.75,overcast clouds
98,Jiayuguan,CN,39.8167,98.3,35.42,43,76,4.05,broken clouds
99,Grand Gaube,MU,-20.0064,57.6608,70.2,75,7,3.0,clear sky
100,San Carlos,VE,9.6612,-68.5827,74.16,94,98,2.71,overcast clouds
101,Kuala Terengganu,MY,5.3302,103.1408,84.15,84,40,5.75,scattered clouds
102,Nome,US,64.5011,-165.4064,33.87,70,100,4.61,overcast clouds
103,Muisne,EC,0.6,-80.0333,73.31,82,100,8.7,overcast clouds
104,Ancud,CL,-41.8697,-73.8203,50.7,94,100,2.26,light rain
105,Huangcun,CN,30.0145,118.4037,74.98,57,0,1.39,clear sky
106,New Norfolk,AU,-42.7826,147.0587,79.72,39,76,3.0,broken clouds
107,Dikson,RU,73.5069,80.5464,-4.38,100,19,9.22,few clouds
108,Klaksvik,FO,62.2266,-6.589,49.12,87,95,22.24,overcast clouds
109,Pevek,RU,69.7008,170.3133,-6.05,99,100,3.22,overcast clouds
110,Igarka,RU,67.4667,86.5833,-4.72,99,98,5.12,overcast clouds
111,Kodiak,US,57.79,-152.4072,38.71,81,100,21.85,overcast clouds
112,Floro,NO,61.5996,5.0328,49.96,93,75,16.11,light intensity shower rain
113,Shingu,JP,33.7333,135.9833,67.66,62,87,4.52,overcast clouds
114,Isla Mujeres,MX,21.2311,-86.731,73.17,79,4,8.88,moderate rain
115,Khakhea,BW,-24.6895,23.494,72.34,43,2,8.3,clear sky
116,Sao Domingos,BR,-13.3983,-46.3183,75.88,65,92,4.21,overcast clouds
117,Mehamn,NO,71.0357,27.8492,33.75,86,20,11.5,few clouds
118,Lat Yao,TH,15.751,99.7893,76.37,78,100,6.98,overcast clouds
119,Birao,CF,10.2849,22.7882,69.08,30,61,5.14,broken clouds
120,Mazatan,MX,14.8667,-92.45,77.79,82,3,1.72,light rain
121,Avarua,CK,-21.2078,-159.775,75.25,78,40,17.27,scattered clouds
122,Yenagoa,NG,4.9247,6.2642,75.18,93,100,3.76,overcast clouds
123,Kenai,US,60.5544,-151.2583,35.15,91,100,16.11,overcast clouds
124,Kaitangata,NZ,-46.2817,169.8464,55.98,57,0,11.7,clear sky
125,Pauini,BR,-7.7136,-66.9764,73.17,88,35,3.38,scattered clouds
126,Qaanaaq,GL,77.484,-69.3632,-7.51,60,95,6.17,overcast clouds
127,Plettenberg Bay,ZA,-34.0527,23.3716,58.46,81,81,7.14,broken clouds
128,Narsaq,GL,60.9167,-46.05,32.22,83,100,3.49,overcast clouds
129,Samandag,TR,36.0842,35.9771,57.72,79,100,8.1,overcast clouds
130,Mahebourg,MU,-20.4081,57.7,70.09,83,20,2.3,few clouds
131,Kumo,NG,10.0447,11.2122,74.28,30,86,4.52,overcast clouds
132,Saint-Philippe,RE,-21.3585,55.7679,69.39,74,62,6.29,broken clouds
133,Margate,GB,51.3813,1.3862,52.3,88,7,3.0,clear sky
134,Terrace,CA,54.5163,-128.6035,21.11,49,40,13.8,scattered clouds
135,Bengkulu,ID,-3.8004,102.2655,79.5,79,99,2.89,light rain
136,Carsamba,TR,41.1989,36.7219,53.78,93,75,3.44,broken clouds
137,Provideniya,RU,64.3833,-173.3,26.71,68,100,4.47,fog
138,Bonavista,CA,48.6499,-53.1147,35.4,59,100,23.09,overcast clouds
139,Longyearbyen,SJ,78.2186,15.6401,22.84,68,0,11.5,clear sky
140,Luanda,AO,-8.8368,13.2343,77.0,78,40,6.91,scattered clouds
141,Hilo,US,19.7297,-155.09,82.13,65,0,10.36,clear sky
142,Usinsk,RU,65.9939,57.5281,26.15,96,100,5.82,overcast clouds
143,Leningradskiy,RU,69.3833,178.4167,0.12,87,100,4.76,overcast clouds
144,Mulatupo,PA,8.9492,-77.7652,75.97,90,100,7.43,overcast clouds
145,Saint George,US,37.1041,-113.5841,52.39,54,75,6.91,broken clouds
146,Zhangzhou,CN,24.5133,117.6556,80.53,58,0,1.48,clear sky
147,Yamethin,MM,20.4333,96.15,75.6,67,0,4.36,clear sky
148,Jumla,NP,29.2747,82.1838,45.18,73,96,3.04,overcast clouds
149,Thompson,CA,55.7435,-97.8558,10.56,85,75,8.05,light snow
150,Mahina,PF,-17.5065,-149.489,82.17,69,75,3.44,light rain
151,Ambulu,ID,-8.345,113.6058,84.78,67,76,2.06,broken clouds
152,Teguldet,RU,57.3064,88.1667,23.88,88,100,9.46,overcast clouds
153,Mtambile,TZ,-5.3833,39.7,77.49,86,54,9.24,light rain
154,Ixtapa,MX,20.7,-105.2,72.79,93,28,2.46,scattered clouds
155,Christchurch,NZ,-43.5333,172.6333,59.41,58,100,10.36,overcast clouds
156,Pitimbu,BR,-7.4706,-34.8086,79.39,78,25,9.6,scattered clouds
157,Paamiut,GL,61.994,-49.6678,17.71,79,100,7.63,overcast clouds
158,Linxia,CN,35.6003,103.2064,48.29,71,6,1.68,clear sky
159,Tuktoyaktuk,CA,69.4541,-133.0374,12.2,85,75,10.36,broken clouds
160,Xichang,CN,27.8964,102.2634,59.04,73,4,2.33,clear sky
161,Komsomolskiy,UZ,40.4272,71.7189,32.72,86,2,4.61,clear sky
162,Yumen,CN,40.2833,97.2,37.29,44,100,6.02,overcast clouds
163,Sorrento,IT,40.626,14.3744,61.27,93,100,3.36,overcast clouds
164,Olavarria,AR,-36.8927,-60.3225,67.01,47,54,14.67,broken clouds
165,Kaeo,NZ,-35.1,173.7833,70.32,84,64,14.09,broken clouds
166,Okhotsk,RU,59.3833,143.3,7.45,64,1,19.48,clear sky
167,Rio Cuarto,AR,-33.1307,-64.3499,74.48,28,87,27.63,overcast clouds
168,Port Lincoln,AU,-34.7333,135.8667,63.95,71,100,14.2,overcast clouds
169,Bathsheba,BB,13.2167,-59.5167,81.21,83,40,9.22,scattered clouds
170,Clyde River,CA,70.4692,-68.5914,1.63,78,100,26.46,light snow
171,Coihaique,CL,-45.5752,-72.0662,55.35,58,0,4.61,clear sky
172,Gallipoli,TR,40.4103,26.6708,52.23,85,0,9.95,clear sky
173,Praia,CV,14.9215,-23.5087,75.74,78,20,14.97,few clouds
174,Rovinj,HR,45.08,13.64,60.62,82,91,10.87,overcast clouds
175,Vila Franca Do Campo,PT,37.7167,-25.4333,69.19,91,98,18.3,overcast clouds
176,Aksu,CN,41.1231,80.2644,38.57,49,7,2.1,clear sky
177,Caravelas,BR,-17.7125,-39.2481,72.9,93,100,3.74,overcast clouds
178,Lagoa,PT,39.05,-27.9833,67.89,86,100,26.22,overcast clouds
179,Otavi,NA,-19.65,17.3333,67.8,28,0,6.96,clear sky
180,Ipixuna,BR,-1.7625,-48.8043,73.53,92,100,4.12,overcast clouds
181,Pangai,TO,-19.8,-174.35,84.31,65,75,16.11,broken clouds
182,Keti Bandar,PK,24.1447,67.4497,77.79,69,0,7.61,clear sky
183,Dakar,SN,14.6937,-17.4441,77.88,73,94,11.83,overcast clouds
184,Coos Bay,US,43.3665,-124.2179,46.38,76,0,3.44,clear sky
185,Geraldton,AU,-28.7667,114.6,72.01,56,75,6.91,broken clouds
186,Cidreira,BR,-30.1811,-50.2056,63.0,86,1,4.68,clear sky
187,Shizunai,JP,42.3339,142.3669,55.02,65,48,16.46,scattered clouds
188,Kahului,US,20.8947,-156.47,86.02,59,20,20.71,few clouds
189,Ngunguru,NZ,-35.6167,174.5,64.22,90,93,17.25,overcast clouds
190,Bartica,GY,6.4,-58.6167,75.52,98,98,1.57,moderate rain
191,Kalmunai,LK,7.4167,81.8167,74.39,89,100,5.03,overcast clouds
192,Axim,GH,4.8699,-2.2405,78.13,84,91,6.51,light rain
193,Talnakh,RU,69.4865,88.3972,2.21,99,100,7.29,overcast clouds
194,Katsuura,JP,35.1333,140.3,69.31,54,2,18.41,clear sky
195,Sinnamary,GF,5.3833,-52.95,78.49,86,100,7.61,overcast clouds
196,Tateyama,JP,34.9833,139.8667,68.9,55,0,19.22,clear sky
197,Adeje,ES,28.1227,-16.726,71.56,57,0,12.66,clear sky
198,Ponta Do Sol,PT,32.6667,-17.1,68.63,83,30,2.95,scattered clouds
199,Aylmer,CA,42.7668,-80.983,55.98,58,3,12.1,clear sky
200,Segezha,RU,63.7415,34.3222,33.33,85,98,6.38,overcast clouds
201,Bermejo,AR,-32.8833,-68.8,80.51,28,20,11.5,few clouds
202,Noumea,NC,-22.2763,166.4572,75.18,76,91,10.36,overcast clouds
203,Lebu,CL,-37.6167,-73.65,54.66,85,70,17.58,light rain
204,Kourou,GF,5.1552,-52.6478,75.25,87,78,5.73,broken clouds
205,Carbondale,US,37.7273,-89.2168,66.06,75,0,4.61,clear sky
206,Otradnoye,RU,59.7775,30.8181,50.09,94,100,8.66,overcast clouds
207,Mindelo,CV,16.8901,-24.9804,76.55,73,75,20.71,broken clouds
208,Lorengau,PG,-2.0226,147.2712,83.19,74,97,2.01,heavy intensity rain
209,Tevaitoa,PF,-16.7833,-151.5,79.57,76,100,15.19,overcast clouds
210,Bandarbeyla,SO,9.4942,50.8122,79.66,77,35,13.06,light rain
211,Jibuti,DJ,11.5,42.5,72.57,84,18,12.06,few clouds
212,Santa Rosa,PH,14.3122,121.1114,88.02,64,68,8.97,broken clouds
213,Banjar,ID,-8.19,114.9675,85.66,69,94,3.49,overcast clouds
214,Dingle,PH,10.9995,122.6711,84.06,75,89,11.23,overcast clouds
215,Mandan,US,46.8267,-100.8896,26.58,91,100,14.97,overcast clouds
216,Kutum,SD,14.2,24.6667,63.14,29,3,7.74,clear sky
217,Rundu,NA,-17.9333,19.7667,77.32,40,82,5.64,broken clouds
218,Henties Bay,NA,-22.116,14.2845,57.27,93,1,3.71,clear sky
219,Rosetown,CA,51.5501,-108.0014,-11.22,77,22,4.61,few clouds
220,Husavik,IS,66.0449,-17.3389,41.32,99,99,8.68,overcast clouds
221,Havre-Saint-Pierre,CA,50.2334,-63.5986,33.8,74,100,0.0,overcast clouds
222,La Rioja,ES,42.25,-2.5,37.18,87,6,5.12,clear sky
223,Fomboni,KM,-12.28,43.7425,78.42,78,1,17.81,clear sky
224,Souillac,MU,-20.5167,57.5167,70.18,83,20,2.3,few clouds
225,Zatoka,UA,46.0725,30.4654,52.54,65,7,6.8,clear sky
226,Ocosingo,MX,17.0667,-92.25,59.02,99,54,1.54,broken clouds
227,Cherskiy,RU,68.75,161.3,-2.99,97,100,8.55,overcast clouds
228,Forestville,US,38.8451,-76.875,51.08,80,0,0.0,clear sky
229,Vila Velha,BR,-20.3297,-40.2925,71.55,93,0,4.61,clear sky
230,Chicama,PE,-7.8447,-79.1469,61.34,82,31,5.57,scattered clouds
231,Jiancheng,CN,30.391,104.5491,62.8,86,100,1.39,overcast clouds
232,Gornyy,RU,55.1153,83.9059,25.3,91,100,13.38,overcast clouds
233,Borogontsy,RU,62.6683,131.1683,-3.23,94,98,4.09,overcast clouds
234,Mandalgovi,MN,45.7625,106.2708,36.5,43,88,5.01,overcast clouds
235,Raglan,NZ,-37.8,174.8833,71.31,57,70,17.36,broken clouds
236,Bogorodskoye,RU,56.55,37.8833,42.71,92,98,10.49,overcast clouds
237,Isangel,VU,-19.55,169.2667,79.07,81,29,8.41,scattered clouds
238,Dalvik,IS,65.9702,-18.5286,37.33,98,100,4.27,overcast clouds
239,Egvekinot,RU,66.3167,-179.1667,15.35,93,100,4.43,overcast clouds
240,Artigas,UY,-30.4,-56.4667,62.08,65,30,10.58,scattered clouds
241,Dalian,CN,38.9122,121.6022,57.13,100,40,6.71,mist
242,Bilma,NE,18.6853,12.9164,67.82,28,0,8.43,clear sky
243,Moron,AR,-34.6534,-58.6198,73.15,61,18,7.2,few clouds
244,Bambanglipuro,ID,-7.95,110.2833,81.86,74,89,2.68,overcast clouds
245,Mandiana,GN,10.6333,-8.6833,71.62,34,6,3.85,clear sky
246,Arlit,NE,18.7369,7.3853,71.19,19,0,7.07,clear sky
247,Castro,BR,-24.7911,-50.0119,56.84,66,4,1.83,clear sky
248,La Asuncion,VE,11.0333,-63.8628,80.33,89,99,3.44,overcast clouds
249,Saskylakh,RU,71.9167,114.0833,-16.49,98,94,6.2,overcast clouds
250,Tautira,PF,-17.7333,-149.15,77.74,83,86,14.38,light rain
251,Soars,RO,45.9333,24.9167,42.66,80,53,2.1,broken clouds
252,Tual,ID,-5.6667,132.75,83.14,74,100,4.72,overcast clouds
253,Benguela,AO,-12.5763,13.4055,72.68,80,100,3.42,overcast clouds
254,Chara,RU,56.9064,118.2631,9.99,64,71,1.81,broken clouds
255,Dingzhou,CN,38.5131,114.9956,50.11,48,10,6.87,clear sky
256,Bure,ET,10.7,37.0667,55.38,89,66,3.96,broken clouds
257,Valparaiso,CL,-33.0393,-71.6273,55.04,82,40,3.44,scattered clouds
258,Kurumkan,RU,54.3,110.3,16.97,77,8,1.52,clear sky
259,Nuuk,GL,64.1835,-51.7216,16.88,57,100,4.0,overcast clouds
260,Elverum,NO,60.8819,11.5623,40.35,97,58,3.71,broken clouds
261,Kieta,PG,-6.2167,155.6333,84.52,76,88,5.79,moderate rain
262,Vidim,RU,56.4088,103.1106,21.45,89,100,8.34,overcast clouds
263,Taonan,CN,45.3333,122.7833,40.42,33,31,7.52,scattered clouds
264,Judaberg,NO,59.1659,5.8732,51.82,90,85,15.64,overcast clouds
265,Pangnirtung,CA,66.1451,-65.7125,2.39,97,100,2.64,overcast clouds
266,Chumphon,TH,10.3333,98.8333,77.95,66,59,4.25,broken clouds
267,Ulaangom,MN,49.9811,92.0667,22.44,43,3,4.36,clear sky
268,Hostotipaquillo,MX,21.0667,-104.0667,65.7,64,0,3.78,clear sky
269,East Wenatchee Bench,US,47.4257,-120.2812,35.58,78,0,6.91,clear sky
270,Lompoc,US,34.6391,-120.4579,55.78,80,0,11.5,clear sky
271,San Andres,CO,12.5847,-81.7006,82.42,78,40,5.75,scattered clouds
272,Batemans Bay,AU,-35.7167,150.1833,69.1,52,2,13.71,clear sky
273,Saint-Paul-Les-Dax,FR,43.7272,-1.0516,54.12,99,5,2.3,clear sky
274,Marsh Harbour,BS,26.5412,-77.0636,79.09,84,100,30.31,overcast clouds
